round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,kernel_initializer,optimizer,losses,activation,last_activation
200,0.2301587344162048,0.7698412670029534,0.19047619037482202,0.809523824931813,0.003,6,0,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.1732013062352226,0.7698412670029534,0.13400482649908585,0.8095238188497064,0.003,6,2,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17206768076571208,0.7698412670029534,0.14585923484596267,0.8095238208770752,0.003,6,7,20,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.17937352591090733,0.7777777673706175,0.14720209961643024,0.812925174122765,0.003,12,2,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.528018317525349,0.7936507927046882,0.41528172780867334,0.8401360523943998,0.001,6,2,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.2295995316808186,0.7777777673706175,0.18735392847839666,0.8265306073792127,0.001,12,0,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.20479782883610045,0.777777772101145,0.16027560447450398,0.8775510102713189,0.003,12,2,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.23013536797629464,0.7857142866603912,0.22923288093943175,0.8163265415600368,0.001,6,0,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.5412499535651434,0.7698412670029534,0.4877064846405367,0.8095238188497064,0.001,6,5,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.21320853323217423,0.7777777768316723,0.10233040022201279,0.8945578178580926,0.001,12,5,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5944903000952706,0.7777777768316723,0.37945190051785943,0.8469387815923107,0.001,12,0,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5924201323872521,0.7936508021657429,0.4192690407337786,0.8367346894173395,0.001,6,0,20,100,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5664328535397848,0.7777777768316723,0.44440450504118084,0.8231292456185737,0.003,12,2,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5698480326977987,0.7857142771993365,0.4252154086114598,0.826530612244898,0.003,6,2,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.54799232974885,0.777777772101145,0.4709632388588523,0.8231292549444704,0.001,6,5,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.18493117533978962,0.7857142724688091,0.12995838670402157,0.8673469335043511,0.003,12,5,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17763271762265098,0.7698412670029534,0.1571220925115809,0.8095238204716014,0.001,12,5,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5440396694909959,0.7698412670029534,0.48696306672226003,0.809523822904444,0.003,12,7,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,3.7097203353094677,0.7698412599071623,2.906979328636607,0.8095238135785473,0.001,6,0,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17735600554280812,0.7698412599071623,0.15492857533956872,0.8095238127675998,0.001,6,5,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.23015871312883165,0.7698412670029534,0.19047553583878238,0.809523822904444,0.001,6,0,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.17738858622217935,0.7698412670029534,0.1548506157333348,0.809523822904444,0.003,12,7,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17517699100195416,0.7698412599071623,0.14650723401482413,0.8095238127675998,0.003,6,5,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.17745154386474973,0.7698412670029534,0.1547508238225567,0.809523822904444,0.001,6,5,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5440292358398438,0.7698412670029534,0.48697857832422065,0.8095238224989703,0.003,12,7,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,12.27310612088158,0.2301587344162048,12.246977728240344,0.22448979971968397,0.001,12,0,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.19369193852420838,0.8015872921262469,0.11026709825180624,0.8605442103885469,0.001,6,2,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17749875429130735,0.7698412764640081,0.12704466648247778,0.8299319744110107,0.003,12,5,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.23015764402964758,0.7698412670029534,0.19047168718308818,0.809523822904444,0.001,12,0,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.6388768563194881,0.7777777673706175,0.376367580728466,0.8367346882009182,0.001,12,5,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.6709981541784983,0.7698412670029534,0.49037033177557443,0.809523822904444,0.003,12,2,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.22942932872545152,0.7698412670029534,0.19044460906552807,0.8197278927783577,0.003,6,0,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.18849305158096646,0.7857142771993365,0.1371578517667696,0.8333333260348054,0.001,6,0,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5413118298091586,0.7698412670029534,0.4876603240869483,0.8095238188497064,0.003,12,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,3.7097203353094677,0.7698412599071623,3.0701133774831364,0.8095238127675998,0.003,6,0,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.1773746751603626,0.7698412599071623,0.15488869060768562,0.8095238147949686,0.003,6,5,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5984390926739526,0.7857142771993365,0.2796980608888224,0.8979591775913628,0.003,12,2,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.5442938653249589,0.7698412670029534,0.48739085675907784,0.8129251802048716,0.003,12,0,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5736494693491194,0.7698412599071623,0.4755965117491832,0.8095238123621259,0.003,6,2,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.18817847092000264,0.7777777768316723,0.1282713535894342,0.836734701176079,0.001,6,2,20,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.22409631501114557,0.8015872968567742,0.13069621767519282,0.8401360442849244,0.001,6,0,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5442086240601918,0.7698412599071623,0.4869729336224446,0.8095238147949686,0.001,6,7,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.5839380125204722,0.7857142828759693,0.417512140813328,0.8571428522771719,0.003,12,7,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5441179109944237,0.7698412599071623,0.48695771933412874,0.8095238147949686,0.001,6,7,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.22186311842903259,0.7777777768316723,0.10988909795525528,0.8775510102713189,0.001,12,0,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.17740709582964578,0.7698412670029534,0.15481896728885416,0.8095238204716014,0.003,12,7,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17735565997778424,0.7698412599071623,0.15492055544845101,0.8095238127675998,0.001,12,5,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5929196018075186,0.7936507870280554,0.3310517302783979,0.8843537350090183,0.003,12,2,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.17712220975330897,0.7698412670029534,0.1484683466200926,0.809523822904444,0.003,6,2,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17436742770766456,0.7698412599071623,0.14749000842372575,0.8095238135785473,0.001,6,5,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17814989246073223,0.7698412670029534,0.15925754333028988,0.809523822904444,0.003,6,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.22604746773602472,0.7857142724688091,0.11600171198726308,0.863945573771081,0.001,6,0,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.23015869243277443,0.777777772101145,0.19671384437757283,0.8231292500787851,0.003,12,0,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5520840774452875,0.7857142819298638,0.4377639375779094,0.853741492138428,0.001,6,7,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5731722849702078,0.8015872921262469,0.374780100725946,0.8469387714554664,0.001,6,2,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.5410589178403219,0.7698412670029534,0.4878128458853482,0.8095238188497064,0.003,6,5,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17814726796415117,0.7698412670029534,0.15926036005522928,0.809523824931813,0.001,6,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.6887456282736764,0.7936507964891101,0.36274462755845516,0.8401360605038753,0.001,12,7,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.18787807273486304,0.793650782297528,0.11676515554565758,0.8741496562146817,0.001,12,7,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.564061961476765,0.7936507870280554,0.3971027356832206,0.8401360564491376,0.001,6,2,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.19159816134543645,0.7857142828759693,0.11942433352981295,0.8673469432357217,0.001,6,2,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5412109163072374,0.7698412670029534,0.4877109085621477,0.809523822904444,0.003,6,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.18335941126422275,0.7936507870280554,0.13240212250222155,0.8435374218590406,0.001,6,7,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.6855798420451936,0.7777777768316723,0.34090489858672735,0.8809523805469072,0.001,12,5,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.676661353262644,0.7777777825083051,0.3000396190046453,0.9047619023290622,0.001,12,5,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.17861241847276688,0.7698412599071623,0.15421193663258942,0.8095238127675998,0.003,12,7,10,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.1785090449783537,0.7698412670029534,0.15422761450413944,0.8095238224989703,0.001,6,7,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.1980052249772208,0.8015872873957195,0.1305330574360429,0.8469387714554664,0.003,6,0,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.20663122596248748,0.7857142771993365,0.08268298633273083,0.9081632636842274,0.001,12,2,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5448331738275195,0.7936507870280554,0.4000037930855135,0.8639455782312925,0.003,6,2,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.1773618378099941,0.7698412599071623,0.15491240542559398,0.8095238123621259,0.003,6,5,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17732699759422788,0.7698412599071623,0.15498806589416095,0.8095238115511784,0.001,6,5,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.1781371838989712,0.7698412670029534,0.15924103811484616,0.809523822904444,0.001,6,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,3.7097203353094677,0.7698412599071623,3.0701134028569657,0.8095238135785473,0.001,12,0,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.1784558826022678,0.7698412599071623,0.15422055627010306,0.8095238135785473,0.003,12,7,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17808030214574602,0.7698412670029534,0.15909942852802017,0.8095238224989703,0.001,12,7,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17412045349677405,0.7698412599071623,0.14587992308091144,0.8095238127675998,0.001,6,7,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.17879605021268602,0.7777777768316723,0.15424784673314515,0.8163265273684547,0.001,6,0,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17737300906862533,0.7698412599071623,0.15488686207301763,0.8095238127675998,0.001,12,7,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5443192881251139,0.7698412599071623,0.48701659057821545,0.8095238127675998,0.001,12,7,10,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5443593287278735,0.7698412599071623,0.48692589329213515,0.8095238125648628,0.001,6,0,10,200,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.537065066988506,0.7698412599071623,0.43311435156533507,0.8095238115511784,0.001,12,7,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.23013255804304092,0.7857142828759693,0.19047169417751078,0.843537415776934,0.001,12,0,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5439299240944877,0.7698412670029534,0.48696734629520755,0.809523822904444,0.001,6,5,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,3.7097203353094677,0.7698412599071623,3.0701133919226216,0.809523817633285,0.003,12,0,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5441592737795815,0.7698412599071623,0.48696212987510523,0.8095238135785473,0.003,6,7,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.21833407192949264,0.7777777768316723,0.18400812394866337,0.8231292510924696,0.003,12,0,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.2301587344162048,0.7698412670029534,0.1904761949870862,0.809523822904444,0.001,6,0,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.17840072701847742,0.7698412599071623,0.15422312443961902,0.8095238127675998,0.003,6,5,10,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.1820207658622946,0.777777772101145,0.1405295349505483,0.8333333288731218,0.001,12,0,10,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
100,0.17740147052303193,0.7698412599071623,0.1548402599078052,0.8095238127675998,0.003,12,7,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.17802120295781937,0.7698412670029534,0.15896262258899455,0.809523822904444,0.001,6,7,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.585576699839698,0.7857142771993365,0.462410097422243,0.8197278907509888,0.001,6,2,10,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.5723505001219492,0.7857142771993365,0.29353267582906345,0.8979591832679956,0.001,12,2,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
