round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,kernel_initializer,optimizer,losses,activation,last_activation
100,0.6893718603885535,0.6060606132854115,0.5012711698287412,0.7828947415477351,0.7003,6,4,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.3713567175648429,0.6060606132854115,0.19351763258639135,0.8026315867900848,0.3007,6,0,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.23877887111721616,0.6060606096730088,0.1995166673472053,0.7828947478219083,0.1009,6,9,50,100,2,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24778875956932703,0.6060606241226196,0.17024101066942277,0.7828947497825873,0.1009,12,8,5,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.249374889514663,0.6060606132854115,0.15465271394503743,0.8092105357270492,0.5005,6,3,20,100,0,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24809050966392865,0.6060606241226196,0.16253552997582837,0.7960526496171951,0.9001,6,1,50,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6840942384618701,0.6060606241226196,0.5100836352886338,0.8092105376877283,0.8002,12,6,5,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6927398172291842,0.6060606096730088,0.5306299332725374,0.782894754880353,0.001,12,6,50,100,8,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.2553284692041802,0.6060606096730088,0.16537495957393394,0.7828947478219083,0.8002,6,1,50,200,8,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24768909247535648,0.6060606241226196,0.16203187192839227,0.8092105376877283,0.001,6,6,5,200,8,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24936721451354749,0.6060606132854115,0.17292146443536408,0.7828947525275382,0.9001,12,5,20,200,2,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6884975090171351,0.6060606132854115,0.5235945378479204,0.7828947478219083,0.5005,12,6,10,100,4,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.7854557777896072,0.6212121392741348,0.49683597683906555,0.8092105318056909,0.6004,12,0,50,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.662337783611182,0.6212121248245239,0.5711306890374735,0.8421052568837216,0.9001,12,1,50,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6838277271299651,0.6060606132854115,0.5154988681407351,0.78289474390055,0.3007,6,3,10,100,8,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24420488399989676,0.6060606241226196,0.15750066573290447,0.8092105376877283,0.4006,12,5,5,200,4,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24211789893381525,0.6060606096730088,0.1839970950233309,0.782894754880353,0.4006,12,9,50,200,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2494504659464865,0.6060606132854115,0.17147329861396238,0.7828947540960813,0.6004,12,3,20,100,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24338582722526608,0.6060606241226196,0.15375971715701253,0.8092105376877283,0.7003,6,4,5,200,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6706542490106641,0.6060606241226196,0.5028516029644954,0.8026315897311035,0.3007,12,3,5,100,2,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6880307865865303,0.6060606132854115,0.5121672990682878,0.8026315828687266,0.4006,6,2,10,200,8,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6867625749472416,0.621212130243128,0.5051396387188059,0.7960526425587503,0.7003,6,1,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6886915907715306,0.6060606132854115,0.523268312215805,0.78289474390055,0.4006,12,4,10,200,2,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24887266664793997,0.6060606132854115,0.1690587245271002,0.78289474390055,0.1009,12,9,10,100,8,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24954400369615265,0.6060606295412237,0.15784394054820663,0.8026315962013445,0.3007,6,9,20,100,2,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24849403762456143,0.6060606132854115,0.16742140245868972,0.7828947454690933,0.2008,6,2,10,200,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.2476889660412615,0.6060606241226196,0.16377490075109036,0.7828947497825873,0.5005,12,3,5,200,8,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.26882602545348083,0.6060606132854115,0.13448305565275645,0.8092105294528761,0.9001,12,1,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.685465668186997,0.6060606241226196,0.5233824378565738,0.7828947497825873,0.001,6,5,5,100,2,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6851831656513792,0.6060606241226196,0.5233413350621337,0.7828947497825873,0.2008,6,7,5,200,4,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6910890521425189,0.6060606132854115,0.4980554270901178,0.78289474390055,0.4006,12,6,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6890253406582456,0.6060606132854115,0.5236092727435263,0.78289474390055,0.1009,12,0,10,100,2,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.23944687256307312,0.6060606132854115,0.17250024723379234,0.78289474390055,0.9001,6,2,10,100,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6921093409711664,0.6363636309450323,0.4267271819867586,0.8815789426627912,0.5005,12,7,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2387547596837535,0.6060606096730088,0.20084160585936747,0.7828947478219083,0.2008,12,5,50,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.249712710127686,0.6060606241226196,0.15928029817970177,0.8092105318056909,0.5005,12,9,50,200,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24304699310750671,0.6060606241226196,0.15395084072492624,0.8092105376877283,0.001,6,3,5,100,2,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6710269112478603,0.6515151691256147,0.49539973062316056,0.8157894832915381,0.8002,12,0,5,100,2,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6925311106624026,0.6060606241226196,0.5028450218470473,0.8092105121989,0.1009,12,5,50,100,8,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.2478761472033732,0.6060606241226196,0.17039532003630148,0.7828947497825873,0.2008,6,4,5,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24785107012951013,0.6060606241226196,0.1703564241577528,0.7828947497825873,0.1009,12,6,5,100,8,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6917959234931252,0.6060606132854115,0.4940398645244147,0.8092105294528761,0.8002,6,5,10,100,2,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6921417478359106,0.6060606132854115,0.4939747123341811,0.8026315946328012,0.3007,6,7,20,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.23876801358930994,0.6060606096730088,0.20009264546005348,0.7828947478219083,0.7003,6,9,50,100,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24889851384090655,0.6060606132854115,0.17035135715023467,0.7828947478219083,0.3007,6,6,10,200,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6883372827009722,0.6060606132854115,0.5207737633272221,0.78289474390055,0.001,6,3,10,200,8,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6899870616016965,0.6060606241226196,0.5109902371309305,0.7828947497825873,0.7003,6,5,5,100,2,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24967442633527698,0.6060606241226196,0.1717854389234593,0.8092105121989,0.8002,12,9,50,200,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.2420680753209374,0.6060606096730088,0.1476543454551383,0.7828947478219083,0.4006,12,3,50,200,8,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6862721687013452,0.6212121406287858,0.4002705655599895,0.8750000070584448,0.5005,12,3,5,200,2,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6848004595799879,0.6060606241226196,0.523415096300213,0.7828947497825873,0.8002,6,8,5,100,4,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,6.349552624153368,0.6060606241226196,3.3212025628575,0.7828947497825873,0.5005,6,0,5,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6886939225774823,0.6060606132854115,0.5235064192429969,0.78289474390055,0.4006,6,1,10,100,8,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6927208250219171,0.6060606096730088,0.526088888315778,0.7828947478219083,0.3007,6,4,50,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2438188786759521,0.6060606241226196,0.16210328008195288,0.7828947497825873,0.1009,6,4,5,100,8,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.685851210897619,0.6212121139873158,0.3905696923795499,0.8486842152319456,0.7003,12,4,20,200,2,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.2487788155223384,0.6060606132854115,0.16956382661469674,0.8092105294528761,0.8002,12,5,10,200,2,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24939192696051163,0.6060606132854115,0.17309734421341041,0.7828947509589949,0.9001,12,8,20,200,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6908600276166742,0.6060606132854115,0.5236253887414932,0.7828947525275382,0.7003,6,3,20,200,4,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.7492027065970681,0.6363636399760391,0.46856836935407237,0.8092105318056909,0.7003,12,0,50,200,2,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24845670479716678,0.6060606241226196,0.16505710669106952,0.7828947497825873,0.7003,6,8,5,200,2,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6854536307580543,0.6060606241226196,0.5233788244230183,0.7828947497825873,0.7003,12,9,5,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.29152054700887564,0.6060606241226196,0.13808722836333082,0.8223684316402987,0.2008,12,1,5,100,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24941727338415204,0.6060606132854115,0.14496526543639207,0.8289473746952257,0.9001,6,5,20,200,2,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.6908439307501821,0.6060606132854115,0.5236581963928122,0.7828947509589949,0.9001,12,9,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2323012539383137,0.6060606241226196,0.15760169254223766,0.8157894827033344,0.9001,6,2,5,100,2,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.24758704887195068,0.6060606241226196,0.1638312365271543,0.7828947497825873,0.1009,12,3,5,100,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24887303872541947,0.6060606132854115,0.17029597997469337,0.7828947454690933,0.3007,12,5,10,200,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2387553218639258,0.6060606096730088,0.20081822789813342,0.7828947478219083,0.5005,12,9,50,100,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24214972375017224,0.6060606096730088,0.18404232083182587,0.7828947478219083,0.1009,6,5,50,200,8,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.7079391046003862,0.6060606096730088,0.5302658084976045,0.789473682641983,0.9001,12,0,50,200,4,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.2487951282298926,0.6060606132854115,0.17035378143191338,0.78289474390055,0.4006,12,5,10,200,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2497377215009747,0.6060606096730088,0.16747125042112251,0.7894736693093651,0.3007,6,8,50,100,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6884188254674276,0.6060606132854115,0.5236813147601328,0.78289474390055,0.001,12,7,10,100,4,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6730415667548324,0.6060606241226196,0.5132443970559459,0.8092105367073887,0.2008,12,1,5,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.24293582457484622,0.6060606132854115,0.18264981280816228,0.7828947525275382,0.6004,12,9,20,100,4,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.7714165936816822,0.6060606132854115,0.47501697273630844,0.7828947525275382,0.5005,6,0,20,100,2,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6921976551865087,0.6060606132854115,0.5215912163257599,0.7828947493904516,0.8002,12,9,20,100,4,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.2477987270915147,0.6060606241226196,0.17000285626732206,0.7828947497825873,0.1009,6,5,5,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6892676443764658,0.6060606241226196,0.4888122341546573,0.8092105372955924,0.6004,6,6,5,100,4,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.7009019255638123,0.6515151605461583,0.3783979610000786,0.8749999952943701,0.6004,12,1,10,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.6818242036935055,0.6060606096730088,0.5509908207153019,0.7828947478219083,0.3007,12,9,50,100,2,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24951655304793155,0.6060606132854115,0.16479155107548363,0.7828947525275382,0.2008,6,7,20,200,4,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.692523490298878,0.6060606096730088,0.5291756764054298,0.782894754880353,0.2008,12,3,50,100,4,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24888024366263187,0.6060606132854115,0.17029304655366823,0.78289474390055,0.2008,12,4,10,200,4,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.684854013450218,0.6060606241226196,0.523357305871813,0.7828947497825873,0.1009,6,7,5,200,8,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24879084662957626,0.6060606132854115,0.17285002915090636,0.7828947478219083,0.3007,6,7,10,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24940250317255655,0.6060606132854115,0.17269521324258102,0.7828947525275382,0.5005,12,9,20,200,2,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.682549543001435,0.6818181998801954,0.3365928323044883,0.9210526362845772,0.9001,12,2,5,200,8,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2631920390959942,0.6060606132854115,0.1716527725128751,0.8026315883586281,0.9001,12,1,20,100,2,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.2478692326130289,0.6060606241226196,0.16999300966333403,0.7828947497825873,0.2008,12,7,5,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.24778353309992587,0.6060606241226196,0.17037825056008601,0.7828947497825873,0.6004,6,9,5,100,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.2495692033659328,0.6060606132854115,0.16842116591961762,0.7828947509589949,0.8002,6,4,20,100,8,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.7395145297050476,0.6212121248245239,0.5016462873471411,0.8092105059247268,0.8002,12,0,50,100,8,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.6915376818541324,0.6060606132854115,0.5153213221775857,0.7828947509589949,0.8002,6,3,20,100,8,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.2562640995690317,0.6060606096730088,0.17210159911529013,0.7828947478219083,0.9001,6,2,50,200,4,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
